group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,19,-0.478081015,1.510654365,-3.13698095,3.136829017,0.245826425,13.96997405,-3.206333071,313.6431818,86.51755518,76.46682847,3.056350059,401.3059486,0.009486166,0.843333333
control,pre-induction_EPM_fixed_1_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,20,-0.028695717,1.663243598,-2.136768972,3.046240181,4.780907886,2.623865589,1.598149222,9.714056771,97.95119563,58.32624069,9.648434407,241.53275,0.003162055,0.32
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,0,-0.817372331,1.882942631,-3.141189864,3.141277253,0.123204514,5.95590586,-3.784021819,313.9260592,62.65503193,60.97510389,0.516084617,650.8630678,0.182417582,0.450441767
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,1,-1.456654494,1.689228211,-3.126809861,3.141198486,0.002403535,5.731980835,-313.5309027,313.5996381,39.54481759,26.38790821,0.358070907,450.8887169,0.136263736,0.64483871
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,2,-0.480114091,1.994482097,-3.140724074,3.140900733,0.434312361,27.1575916,-313.7891247,313.977448,93.58213369,67.58282197,2.411210704,441.7869969,0.131135531,0.312402235
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,3,-0.518435132,1.864551465,-3.141478524,3.132511719,-0.061974257,15.8352457,-313.4138246,5.779440533,79.68220991,50.13816438,0.123855171,344.1407579,0.111355311,0.308684211
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,4,-1.095073463,1.867253301,-3.141289868,3.141284969,0.118764338,19.57555289,-310.1413222,313.6193843,53.71201922,34.5241845,0,212.7352542,0.090842491,0.204354839
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,5,-0.023668851,1.936281538,-3.071355771,3.086188664,-0.051566814,7.38631736,-310.6968499,6.050589586,101.2459893,69.46849431,1.497951324,430.1729017,0.044688645,0.585245902
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,6,-0.372938836,1.760359514,-3.127509317,3.098981543,0.640018042,18.34442011,-312.150901,311.8963124,103.4395001,60.86464569,2.556838294,370.4576717,0.062271062,0.208470588
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,7,-1.375369684,1.623709447,-3.073698441,3.084455844,-0.194831347,6.120984168,-312.2050707,3.206063462,98.75827802,89.50543021,2.160283988,500.517231,0.052014652,0.738309859
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,8,-0.558193192,1.727785799,-3.126308188,3.119084025,-0.140100439,10.56201728,-312.6318436,312.4876717,176.4798731,131.2589712,2.666334118,610.4610379,0.035897436,0.723265306
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,9,-1.193188171,1.587947952,-3.138236647,3.121161128,-1.039039334,18.2927303,-313.2028429,3.286114358,156.7636406,130.7415493,0.166585629,683.7452928,0.024908425,0.512941176
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,10,-0.736831221,1.627843913,-2.857469831,2.415074617,-9.177647556,49.04527213,-278.2593002,24.09517186,120.7880285,60.8955018,50.24124048,273.4542878,0.016117216,0.03
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,11,-0.186765232,1.887643039,-3.137597798,3.132235589,-1.047710635,32.69373197,-284.5658114,54.32473777,135.289923,76.74154922,18.97481515,350.2926167,0.016117216,0.074545455
control,pre-induction_EPM_fixed_2_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,137,12,-0.033320574,1.782400437,-3.129853221,3.115357806,-1.82151163,20.42457202,-312.8406131,7.602275021,151.6616863,96.51737862,7.555202083,402.7465901,0.015384615,0.228571429
