group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,19,0.272462417,0.993629036,-0.90619671,1.249045812,-0.08861994,0.865880395,-1.812452134,1.795779018,221.3955569,41.23233567,158.2545651,353.4502349,0.008571429,0.24
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,20,-0.297742407,1.539329114,-2.491132933,2.703582367,-0.702501621,1.698366678,-5.67393766,2.874203409,124.9666624,91.25810495,1.891206206,381.6123632,0.031428571,0.447272727
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,21,-1.208577648,0.174080269,-1.529357745,-0.934090346,1.338669162,0.544007937,0.677342853,2.635982004,71.20318674,36.9821803,4.55489521,134.6316525,0.002857143,0.5
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,22,-0.826581673,2.262627645,-3.013349748,2.837887117,-1.651682842,2.680905067,-5.396193701,3.108835048,148.4077662,95.48617338,26.25187825,326.0521686,0.02,0.042857143
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,23,0.339082422,1.967423092,-2.533685341,3.138326476,2.701695036,1.645309649,-0.086132421,4.860149993,189.5969826,80.08569418,26.95556737,309.6004618,0.005714286,0.67
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,24,-1.046437408,0.879071536,-2.603859394,-0.412325712,-0.069747908,0.78824588,-5.612842622,1.272293674,139.450543,83.55939416,6.216794553,351.5349725,0.008571429,0.633333333
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,25,1.006390907,1.653662618,-3.120243994,3.119307809,-0.259595304,26.39308931,-312.7446655,312.6380164,58.83341377,31.65007798,3.455739243,163.7843478,0.02,0.805714286
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,26,-1.716789979,1.745722234,-2.961030711,3.112676144,-4.762364426,42.3545411,-310.0101017,4.429145295,87.16945158,58.74806954,5.300648539,268.4677201,0.011428571,0.27
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,27,-0.737371739,0.167028419,-1.301635617,-0.573747658,-0.148225743,0.961349312,-2.672763879,1.606416341,88.36456658,75.6913719,5.195915284,364.6297305,0.005714286,0.95
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,28,-0.219202444,1.348738213,-1.971166016,1.646091009,0.617477721,1.49580069,-1.142853418,4.026068207,522.0194331,104.6606192,329.0296562,688.0079937,0.017142857,0.096666667
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,29,-0.451755661,1.399956388,-2.565333564,1.637108793,-0.675771794,1.226835927,-4.580882051,1.854942383,111.4425797,79.75388114,2.46238816,376.419758,0.014285714,1.112
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,30,0.511421367,1.061422217,-2.56990526,1.229848964,-0.622640943,11.18803082,-64.27870401,4.331377737,262.3402261,110.7603563,96.76639228,532.8202386,0.017142857,0.116666667
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,31,-0.203832162,0.195017755,-0.594262285,0.106264049,0.814579399,2.659006242,-2.961579996,5.60502321,63.49180103,33.3042215,4.314993963,140.6888844,0.002857143,0.48
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,32,1.007316834,0.102373256,0.933297902,1.164256718,0.689054276,0.686982896,-0.457343641,1.428721837,241.315747,45.76756207,178.199758,349.770516,0.002857143,0.2
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,33,-1.404159547,1.416886983,-2.914511501,2.672071956,1.278493184,3.649155871,-7.559074063,7.175739733,115.9738643,73.48178853,6.93670416,311.958095,0.014285714,0.264
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,34,-0.064936789,0.728152945,-1.124224475,2.77342164,-0.619921123,13.21354568,-107.8011936,28.49453905,76.11606199,43.78905484,3.657378247,164.9100099,0.008571429,0.566666667
control,pre-induction_3CT_fixed_10_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,141,35,-0.777153445,2.119119688,-3.132371378,3.12697923,2.618285058,47.37791467,-313.0339659,313.5222294,97.42243137,56.38974928,13.0496243,245.3547606,0.008571429,0.88
