group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,OFT_trial_2,137,1,0.431744222,1.667068208,-3.137388933,3.137942219,0.221896642,8.082135789,-1.845780043,313.9026099,59.51803679,71.6696283,0.12489171,593.6551455,0.130982368,1.159615385
control,OFT_trial_2,137,2,-0.375604453,1.666168013,-3.138931318,3.141049188,-0.253304042,13.79656625,-313.8911698,313.7444796,109.7556622,91.2227814,1.878695868,572.9143992,0.120906801,1.940833333
control,OFT_trial_2,137,3,-0.034974326,1.731160045,-3.136755456,3.052842188,-0.253183099,8.872554374,-312.3857308,2.329813766,41.08704638,53.83938534,0.446872121,531.2849079,0.070528967,0.886428571
control,OFT_trial_2,137,4,-0.308380028,1.857915877,-3.138248456,3.131589919,0.368355864,24.71918264,-6.572716266,311.63593,143.6966084,89.24096948,2.519737696,512.3053516,0.060453401,0.93
control,OFT_trial_2,137,5,0.095123443,1.386199583,-3.10379079,3.093597862,0.632912311,10.20070087,-312.7492478,6.385110088,184.2853287,128.7797758,0,642.4534748,0.042821159,1.132941176
control,OFT_trial_2,137,6,-0.199154927,1.506653022,-3.139826923,3.106079056,1.137521319,12.39407558,-310.3127109,7.288776167,119.3744778,99.74951812,2.826000325,556.6262933,0.042821159,1.505882353
control,OFT_trial_2,137,7,-0.433749573,1.813657408,-3.115781465,3.078004104,0.335745525,22.13627952,-4.280035671,312.3405231,87.41709811,47.66184889,3.137174652,217.991222,0.007556675,1.34
control,OFT_trial_2,137,8,0.963780038,1.552120581,-1.840196108,2.614293853,-0.179785814,1.305377651,-3.199121193,2.600617806,134.2416616,81.33449847,6.059040164,369.8264132,0.020151134,1.0075
control,OFT_trial_2,137,9,0.729904302,1.828937458,-3.141491432,3.138649538,-0.017040297,19.82725188,-313.4295984,313.6016747,143.1149987,115.0193857,2.598596869,581.2198502,0.042821159,2.062352941
control,OFT_trial_2,137,10,0.631439295,1.542083861,-3.138986544,3.141266633,-0.309833668,16.95861357,-313.454633,313.7341974,160.3325534,112.4386768,1.778096864,571.2305231,0.050377834,2.061
control,OFT_trial_2,137,11,-0.796607638,2.002538824,-3.140602501,3.141554752,-0.131608022,17.71131607,-313.970939,313.8409544,101.6397126,85.37214961,1.277872133,545.8706392,0.075566751,3.342666667
control,OFT_trial_2,137,12,0.651798487,1.465080143,-1.958158175,2.950308784,0.580161825,0.849809688,-1.975757172,3.217435421,120.7909264,91.74370293,1.650114416,455.2644129,0.01511335,1.946666667
control,OFT_trial_2,137,13,-0.926024732,1.750101996,-3.065757584,2.176152512,-1.000887778,1.612010319,-4.331946747,2.17161355,178.5110163,87.07751012,3.03937951,451.1701826,0.01511335,1.02
control,OFT_trial_2,137,14,0.630613508,0.168753181,0.453991131,0.998224175,0.083558814,1.079635106,-1.888726447,2.10198984,76.22144963,66.70504107,5.625311076,247.1060648,0.002518892,1.28
control,OFT_trial_2,137,15,-1.419222473,0.923631692,-2.962804632,0.66918585,-1.576240635,0.982190939,-3.80186174,0.125770733,164.4173236,78.93606783,10.16843418,364.7373028,0.005037783,1.51
control,OFT_trial_2,137,16,-0.180024287,2.092338851,-3.133448665,3.136758807,-0.269549432,28.0440601,-313.3152104,313.7831394,159.9142295,110.3885644,1.74256129,495.6198586,0.01511335,1.666666667
control,OFT_trial_2,137,17,1.917492585,1.768939159,-3.120480819,3.131588323,-0.97094875,32.28842792,-312.2052792,313.0201781,259.6370256,145.3797247,7.372761621,550.3456373,0.010075567,1.41
control,OFT_trial_2,137,18,-1.159075889,2.71901061,-3.102127389,3.134563471,4.242951029,39.85678418,-2.699405551,312.9226863,234.1517165,82.54569038,24.3515129,393.3799354,0.005037783,0.62
control,OFT_trial_2,137,19,-2.081769176,0.402824385,-2.557813764,-1.341255347,-2.513709826,1.069680757,-3.662779858,-0.322057603,165.9547108,63.49063751,76.68078789,323.4027856,0.002518892,0.5
control,OFT_trial_2,137,20,-0.096215376,0.463768259,-0.98484112,0.598731011,0.561631071,0.769120775,-0.827494208,2.204070661,265.2850248,126.4212436,16.61099359,492.9635626,0.007556675,1.3
control,OFT_trial_2,137,21,-1.150535897,0.955395327,-2.047327198,2.23434391,-0.28227088,1.32534283,-6.564484112,2.652833285,87.25446891,68.16359465,5.358368861,363.0786978,0.025188917,0.304
control,OFT_trial_2,137,24,-0.178500292,0.390374043,-1.716942606,0.123141218,0.722914748,1.392394244,-0.750529467,4.988767282,263.6580885,154.6953649,13.46206759,554.5043332,0.002518892,2.36
control,OFT_trial_2,137,25,0.444102815,1.261586985,-2.059425656,2.006088682,-0.661573887,1.444092011,-5.21904898,1.53778837,80.11937009,55.39534315,13.49301189,270.8519786,0.010075567,0.76
control,OFT_trial_2,137,26,-0.878210953,2.08975729,-3.140131482,3.135457401,0.505991795,25.56860502,-312.3556006,313.7532326,109.0697917,81.05532943,1.884142572,416.8025166,0.01511335,2.003333333
