group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,NOR_trial_10,102,5,0.38270363,1.681843991,-3.141234469,3.131504109,0.110827645,9.857001314,-313.1115832,3.975093264,167.3545031,131.517868,1.927815407,589.5338507,0.050505051,2.068
control,NOR_trial_10,102,6,0.37747386,2.149232776,-3.141434297,3.141212346,-0.21596452,30.23001122,-313.5094797,313.251514,107.0323299,98.02587314,3.412047627,582.1042721,0.090909091,1.192222222
control,NOR_trial_10,102,7,1.200153426,0.886047497,-1.643753526,2.915466155,-0.90391043,1.298318042,-4.315479138,1.88240171,211.5072299,160.9390603,11.50977436,728.090635,0.03030303,1.096666667
control,NOR_trial_10,102,8,1.222059248,1.197581254,-3.107864707,3.137484074,0.231517262,19.78368984,-4.137777561,311.5511968,279.9577751,116.3307755,57.74875271,531.3799186,0.015151515,1.673333333
control,NOR_trial_10,102,9,-0.236460241,0.603852072,-0.903809683,0.984855608,-1.197793015,1.182503507,-3.400975255,0.576281268,114.6205325,78.41876743,6.343618342,307.2597668,0.015151515,0.92
control,NOR_trial_10,102,10,0.632123382,2.581390109,-3.112175581,3.140034513,-1.92710786,45.31471545,-313.309394,313.136441,161.1178397,118.1359443,2.762505652,448.9822034,0.01010101,1.44
control,NOR_trial_10,102,11,0.019332712,1.929479512,-3.124888473,3.104852017,-0.130457289,19.44426304,-311.996537,309.5207829,163.8797762,114.3036493,2.849160044,887.9499861,0.03030303,2.57
control,NOR_trial_10,102,12,0.713482295,0.868572952,-3.084757735,3.08621005,-0.826818388,19.69765762,-309.7714287,4.400870522,203.8805809,129.7046804,4.770688701,517.1175239,0.015151515,1.666666667
control,NOR_trial_10,102,13,-0.427615628,1.204954597,-1.250628003,2.827721639,-0.391588526,0.880899959,-2.964532563,1.432665274,158.6399248,93.59043897,2.750307628,442.5126178,0.02020202,2.005
control,NOR_trial_10,102,14,1.41535458,1.103411083,-1.310931623,2.724170881,0.105297349,1.498530264,-3.798789902,3.687438976,151.5792358,122.8970559,6.374042641,530.492605,0.01010101,3.3
control,NOR_trial_10,102,15,-0.890913292,0.233102741,-1.240619771,-0.587301825,-1.972718861,0.871076293,-2.701799842,0.195414698,632.2169299,50.9255782,476.1629589,679.2474954,0.005050505,0.28
control,NOR_trial_10,102,16,-0.815877324,1.088762181,-2.68295902,0.868205008,-1.270045153,0.945984453,-3.925802523,0.607369976,95.75593517,118.7530263,4.5612835,746.9584101,0.02020202,1.28
control,NOR_trial_10,102,17,0.316120998,0.752832679,-0.903429391,1.231882976,-0.379734225,1.43214317,-3.036861383,2.808447814,148.7109171,132.8412499,0.759026849,505.4757972,0.005050505,2.66
control,NOR_trial_10,102,18,0.795722441,0.718700089,-0.53508223,1.535501327,-0.061178876,0.80306853,-1.918473158,1.793664517,60.36638005,41.92582906,1.954731799,251.9437647,0.015151515,1.466666667
control,NOR_trial_10,102,19,0.490424848,0.243023449,0.21081752,1.378566422,-0.526398758,1.099474695,-3.727780406,1.28210833,273.4647862,84.16092839,29.01268971,433.7072421,0.005050505,1.98
control,NOR_trial_10,102,20,-0.39427321,0.420096325,-1.055640858,0.126379398,0.247182594,1.917731796,-1.761178808,2.951664182,301.6521383,261.2040736,27.16984293,640.1167716,0.01010101,0.17
control,NOR_trial_10,102,21,0.36992943,0.411227772,-0.218629198,1.137740054,1.690215193,0.763508963,-0.050153748,2.715598906,60.49385018,28.51122777,11.33796007,130.4482037,0.005050505,0.74
control,NOR_trial_11,112,0,0.712657498,1.566850696,-3.135615616,3.140044288,0.326886123,14.83863584,-313.7861505,312.9509985,105.2410586,103.8853367,2.709386126,591.3115515,0.087719298,1.790666667
control,NOR_trial_11,112,1,0.502647455,1.772005518,-3.140689169,3.139756032,0.152920481,17.50472539,-313.726608,313.5149487,79.40756691,80.33439265,1.01471541,537.5027258,0.222222222,1.856315789
control,NOR_trial_11,112,2,0.434924228,1.970455137,-3.13601718,3.140447893,0.077221833,13.20064253,-314.0512816,314.1219804,33.920616,18.74453718,0.738833718,132.5881373,0.228070175,1.451282051
control,NOR_trial_11,112,3,-1.373275618,1.43628668,-3.102516254,3.053199882,-1.81481813,1.095051814,-4.585943786,-0.065217492,223.3226664,125.2513467,7.798216122,502.9033281,0.023391813,0.765
control,NOR_trial_11,112,4,-1.120957119,1.424042993,-3.077592935,3.112212166,-0.642203539,21.11151283,-309.4565836,5.44062252,148.4219854,104.8450438,6.344990462,427.7626914,0.023391813,1.085
control,NOR_trial_11,112,6,-0.035834179,2.032967162,-3.140829917,3.138152746,-0.603049565,25.81948866,-313.4628993,313.0577327,107.2781332,91.12869144,1.024387518,479.0328138,0.087719298,1.758666667
control,NOR_trial_11,112,7,-0.27342516,1.680912548,-2.933042837,3.127276274,-0.809507914,1.140411403,-5.199489086,1.507416515,195.0628651,128.0423141,0.49257099,543.2060667,0.070175439,1.646666667
control,NOR_trial_11,112,8,0.611587698,2.173863958,-3.102239086,3.118524175,1.281546579,26.18542166,-2.949306574,312.0369364,119.6108809,86.68204854,14.71896475,359.7855038,0.011695906,1.43
control,NOR_trial_11,112,9,-2.870319551,0.043039591,-2.912138961,-2.782201393,-1.399642382,0.561708932,-2.233255658,-0.748566891,82.73277024,32.95436433,29.60746519,128.4125153,0.005847953,0.16
control,NOR_trial_11,112,11,-0.043131161,2.050307675,-3.139586947,3.140128871,0.045280849,25.53851987,-313.7537107,313.0150037,142.4605389,95.48780224,2.446833109,507.7946004,0.046783626,3.385
control,NOR_trial_11,112,12,-1.740312822,0.160020043,-2.027497246,-1.546062173,0.192320671,1.488248801,-1.642449003,3.473815595,353.644642,87.63001622,141.7506341,492.9647023,0.005847953,0.78
control,NOR_trial_11,112,15,1.955932337,0.274243671,1.403891702,2.201013341,-0.925647091,1.127621976,-2.558974995,0.683331778,76.1864673,42.65173812,13.41701654,164.5407033,0.011695906,0.29
control,NOR_trial_11,112,16,0.696281484,0.714238319,-0.212802824,1.894180455,-0.773968028,1.008195168,-3.588918638,0.856408452,53.81621522,36.3899083,2.371016041,193.6399467,0.01754386,0.88
control,NOR_trial_11,112,17,0.633068467,1.522974254,-3.108095848,2.426974654,0.093337561,0.814854625,-2.52036639,2.0558772,103.5947343,89.29680503,3.001659953,409.7300034,0.01754386,4.44
control,NOR_trial_11,112,18,-0.619090984,1.872172019,-3.139114929,3.124926318,0.173070392,20.0669857,-313.6814665,313.5152003,70.77713431,61.36963642,1.571012495,441.1417005,0.058479532,1.95
control,NOR_trial_11,112,21,2.133187208,1.956619148,-3.14152687,3.094792587,-0.95470012,1.417821325,-2.642690848,1.569942588,55.88291655,30.40787055,7.330900873,138.66784,0.005847953,0.52
control,NOR_trial_12,112,0,0.80721175,1.884071468,-3.133272901,3.141546631,0.302848536,18.50963352,-311.6156448,311.6272165,96.66173074,84.34112305,0.521012331,502.1417575,0.077380952,1.746153846
control,NOR_trial_12,112,1,0.090920124,2.178782582,-3.141378313,3.140696655,0.149994897,23.90745822,-314.0416649,313.991076,56.79235186,52.4022918,0.115832193,438.094643,0.208333333,1.862285714
control,NOR_trial_12,112,2,1.921903641,1.462128367,-3.140850601,3.139782443,-0.062453298,4.421388082,-313.6633544,2.814192099,33.54222089,17.71669712,0,168.6426732,0.214285714,2.806111111
control,NOR_trial_12,112,3,-1.70983962,0.988687587,-3.128034631,3.09360705,0.450689918,17.83660737,-3.08696917,311.9020871,260.2827032,168.2789038,16.15836176,1101.950764,0.029761905,1.232
control,NOR_trial_12,112,4,0.725719631,1.60474417,-2.250209875,2.221709023,0.355906803,0.850460379,-1.192587652,3.083044717,293.7855183,129.2776595,32.90902395,590.7178522,0.023809524,0.805
control,NOR_trial_12,112,5,0.355022435,1.359416273,-2.19767163,2.57237387,-0.50376214,1.100807321,-4.643992626,4.285573788,116.4290856,107.9544543,5.333228938,765.1601371,0.035714286,1.61
control,NOR_trial_12,112,6,0.033818234,2.138955425,-3.117765739,3.123053355,0.550294502,19.20277826,-310.6916242,313.1996639,113.6408779,101.7849179,3.411938275,591.2722016,0.05952381,1.062
control,NOR_trial_12,112,7,-1.653549013,0.941679431,-3.104840505,3.124584965,0.649035456,19.69278157,-2.951581809,312.8404687,167.8351435,98.27444704,2.290881107,414.5853515,0.041666667,0.725714286
control,NOR_trial_12,112,11,0.382068385,1.965743334,-3.141016424,3.141061921,-0.334624923,23.38571062,-313.7627913,313.369953,144.7925699,107.9282026,2.088991934,513.3274217,0.041666667,4.105714286
control,NOR_trial_12,112,13,-1.483552203,0.060517813,-1.570583397,-1.418908732,0.498886597,0.275331658,0.006003145,0.823549232,47.51869564,20.3834015,6.008806379,72.64201028,0.005952381,0.28
control,NOR_trial_12,112,15,-0.871301963,0.646296317,-1.481245051,-0.004345135,0.688646735,0.851299764,-0.124795125,1.694600151,72.09914208,41.24639173,12.24879087,151.1039055,0.011904762,0.22
control,NOR_trial_12,112,16,-0.940602768,0.907750647,-2.101527174,2.996870046,-0.695877074,1.556301998,-3.241415987,4.534367008,97.58674048,75.97792604,2.014876724,335.5523129,0.017857143,1.22
control,NOR_trial_12,112,20,-0.894597894,0.905966501,-2.195629114,1.905300591,0.979693163,28.55016556,-167.8985869,215.0838528,58.74477224,35.75110055,3.068529234,195.2305582,0.077380952,0.144615385
control,NOR_trial_12,112,21,-0.093854805,1.743820578,-2.820085672,2.536798353,-0.219748062,2.622094116,-7.280375907,10.73983775,52.09028871,27.97109822,3.151942152,149.9232301,0.023809524,0.515
control,NOR_trial_13,120,0,-0.436881968,1.846439494,-3.135622968,3.140050923,0.150994059,12.38589821,-312.928622,313.7696188,112.2190024,104.1146423,0.521201157,571.1012555,0.160377358,1.515882353
control,NOR_trial_13,120,1,-0.572223549,1.916623524,-3.137497685,3.136486233,0.006456419,11.6974038,-313.6513803,313.7153008,72.70097257,76.89169992,0.938028307,465.4955161,0.132075472,1.542857143
