group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,15,-1.437196861,1.247468771,-2.608569702,2.554844565,-0.462210708,1.367970506,-3.621496054,2.587491623,174.6258615,104.8413102,0,431.6404213,0.011764706,0.868
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,16,1.211784134,1.933880999,-3.136970713,3.130462,0.238634355,19.66241776,-312.0696777,5.190382355,158.9627261,98.84748728,5.631156139,576.8915534,0.021176471,1.131111111
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,17,0.181600245,2.396481131,-3.133758742,3.137282706,-1.130936654,30.50940662,-312.8029807,311.9763773,317.9584148,121.207214,3.687024112,563.457772,0.016470588,1.2
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,18,2.866721043,0.269554513,2.323260727,3.125420259,2.013377707,27.87707241,-2.394197504,312.3385896,281.3691458,119.3149279,9.784378064,552.6652852,0.004705882,1.26
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,19,-1.767284793,0.478470321,-2.608477494,-0.836992646,-0.46989853,1.470230395,-2.851776747,2.327329715,181.2015188,105.3667014,8.520864537,490.3391502,0.007058824,0.566666667
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,20,0.167178991,0.345063633,-0.648166448,1.036950143,0.641898472,1.123941827,-1.880143328,2.826562631,219.3457478,167.708846,10.73549237,621.6320465,0.004705882,1.37
control,pre-induction_OFT_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,129,27,1.022912909,1.752654583,-3.108715187,2.692912205,-0.15183327,1.465559808,-3.84961056,2.154116684,50.53438231,32.11636207,5.068981297,185.1577257,0.011764706,0.556
control,pre-induction_OFT_fixed_Trial 2 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,137,0,-0.582921717,1.639831148,-3.139471778,3.136580885,0.029841757,8.504727616,-313.6058685,313.524465,67.26228483,44.61908023,0.33507941,311.0251911,0.170316302,1.180285714
control,pre-induction_OFT_fixed_Trial 2 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,137,1,0.314096418,1.661436994,-3.137359218,3.132995204,0.116516894,5.49209876,-2.325293838,313.9426398,59.09710867,69.98678314,0.526817143,464.5632737,0.121654501,1.3164
control,pre-induction_OFT_fixed_Trial 2 - crop_superanimal_topviewmouse_snapshot-fasterrcnn_mobilenet_v3_large_fpn-004_snapshot-hrnet_w32-004_animal0,137,2,-0.24029567,1.606382193,-3.136736212,3.136430953,-0.1005214,9.974501548,-313.3910491,312.6956744,114.3480431,96.57176757,0.413516896,692.260366,0.136253041,2.131785714
