syllable,centroid x,centroid y,heading,latent_state 0,latent_state 1,latent_state 2,latent_state 3,latent_state 4
8,690.4698,364.2766,-1.0806,0.1224,-0.0249,1.8446,-1.3729,0.4337
8,690.7102,363.6216,-1.1129,-0.0782,0.1775,1.9238,-1.6572,0.1989
8,690.7295,363.2291,-1.0823,-0.0325,0.2095,1.664,-1.8642,0.5588
8,690.792,362.6918,-1.1207,-0.1134,0.1993,1.8257,-2.0252,0.3294
8,691.018,360.9768,-1.1077,-0.2564,0.1524,1.6102,-2.0727,0.3568
8,691.9686,359.6859,-1.1107,-0.3405,0.408,1.5928,-2.374,0.3282
8,692.4079,356.5775,-1.0935,-0.3575,0.4593,1.6198,-2.6493,0.3442
8,692.0437,353.4483,-1.1377,-0.4513,0.5363,1.6362,-2.4959,0.3162
8,691.2918,350.5351,-1.1983,-0.4877,0.4677,1.7277,-2.762,0.2657
8,692.283,346.9937,-1.2056,-0.3353,0.4114,1.3262,-2.6743,0.4594
8,693.0798,341.9521,-1.2479,-0.4093,0.4197,1.5639,-2.3914,0.6516
8,693.5556,337.5858,-1.3005,-0.2625,0.2592,1.3839,-2.2693,0.1041
1,693.9709,334.8746,-1.2821,-0.2272,0.0806,0.7272,-2.2547,0.0404
1,693.2486,332.4685,-1.3141,-0.3027,-0.0746,0.6761,-2.1749,-0.0166
1,692.7545,328.8577,-1.3066,-0.2299,-0.0322,0.3932,-1.9398,0.1459
1,690.5197,326.1094,-1.2829,-0.3357,-0.1011,0.1094,-1.959,-0.1432
1,689.3174,322.2793,-1.3099,-0.2875,-0.2203,0.1887,-1.795,0.2394
3,687.298,317.2865,-1.3525,-0.3663,-0.245,0.4046,-2.1087,0.069
3,686.5682,313.5281,-1.3424,-0.4073,-0.2934,0.5476,-1.8904,0.1191
3,686.4379,309.1291,-1.3919,-0.2981,-0.1198,0.8979,-2.4987,-0.1626
3,687.069,304.4151,-1.3806,-0.3722,-0.0409,1.1392,-2.4182,-0.2619
3,687.1349,300.3372,-1.4015,-0.3657,-0.0556,1.2721,-2.5009,-0.5123
3,688.7394,295.1435,-1.4159,-0.5287,-0.0199,0.8895,-1.9825,-0.5141
3,688.4625,292.5845,-1.4128,-0.7808,-0.1194,0.6747,-2.1219,-0.3002
