group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,17,0.505281504,1.457966083,-2.15803466,2.70613313,1.022503663,1.294747144,-1.349781364,5.102566873,108.6669718,87.43252095,4.857886315,419.3473237,0.014423077,2.346666667
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,19,2.517730749,0.290969442,1.84005931,2.883961164,0.858230307,0.661639276,0.105036521,2.151885168,247.7829821,118.6425389,29.27546463,417.6181029,0.004807692,1.18
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,21,0.53611623,0.28821425,0.308561207,1.372618568,-1.042948733,1.706530724,-4.082681738,0.992493819,259.7098536,95.10346184,34.39563103,405.2545469,0.004807692,0.92
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,22,2.911762391,0.016934805,2.897573515,2.940254093,-0.600797736,0.067787714,-0.713172091,-0.530223545,26.10581295,17.0254542,5.953401171,48.97855076,0.004807692,0.12
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,23,1.448184088,2.47452181,-3.141127625,3.130766051,-0.00659326,44.59317043,-313.0773987,313.4784195,120.0818963,82.4176619,5.748860299,320.97004,0.004807692,3.96
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,24,-1.375569778,0.186385962,-1.729482439,-0.913345851,-0.259777088,0.939880354,-5.414841637,1.401957711,288.1675167,150.6416017,7.941170936,618.6241949,0.014423077,1.713333333
control,pre-induction-NOR-crop_fixed_Trial 1 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,129,25,1.777114511,1.281969911,0.501484037,3.105736315,-0.051996801,0.725679387,-0.863905704,1.315346005,103.8562186,75.57607036,17.50080022,232.820939,0.019230769,0.08
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,0,-0.334901691,1.805058472,-3.140273491,3.141427088,0.141870331,17.96276781,-313.9068461,313.906323,88.6099929,91.01103928,1.190192336,1223.850151,0.209302326,1.892
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,1,-0.025482032,1.752719887,-3.138707299,3.133743733,0.012125678,8.432265787,-313.4836246,313.6810598,36.50319895,22.47414443,0.731442382,201.1400505,0.2,1.288837209
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,2,0.104612525,1.676865137,-3.052221621,2.701667146,1.05509679,1.121884843,-2.454013972,4.135136939,196.4427717,143.1601235,0,615.0116834,0.093023256,0.815
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,3,0.249013085,1.655022249,-3.109397803,3.134839135,0.271552167,17.38844606,-313.2705042,313.0380625,94.20194591,77.60167306,3.063646757,456.817023,0.055813953,1.62
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,4,0.763073403,1.612476584,-2.570192284,2.978612817,-0.715299376,1.381554149,-4.409262708,2.467763057,230.2262251,107.9837515,5.646805665,547.713298,0.027906977,1.263333333
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,5,0.39764434,2.086969227,-3.141581797,3.123721591,-0.234943641,22.99326478,-313.1435289,311.4153159,189.7030041,115.6599421,2.602173113,513.5233224,0.051162791,1.678181818
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,6,1.248039618,0.93276803,-0.805352934,2.7318087,-1.298994259,1.031451104,-3.589119173,0.655937479,89.96737503,78.30027099,2.641430528,528.9459055,0.027906977,1.123333333
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,7,0.329308689,1.754880753,-3.099161699,3.131795086,-0.444116429,19.21662243,-313.455083,312.7673691,234.3286959,140.3496817,5.761224208,757.2441407,0.051162791,1.449090909
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,8,0.547406173,0.627278786,-0.929741087,1.31591529,0.16624337,1.064552515,-2.53872156,2.631272549,126.6498213,120.0039903,3.494114816,529.9085361,0.009302326,2.77
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,9,0.251464613,1.625890661,-2.67195946,3.139469546,-1.799159155,1.55608374,-5.48910858,1.48737622,113.1504199,84.4944069,0.404039396,433.6803139,0.03255814,0.725714286
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,10,-0.696031036,1.605966406,-2.413249237,2.851831286,-1.533776521,1.063503195,-4.063300586,1.199838352,298.3338339,130.9207854,40.08828257,651.997351,0.013953488,0.873333333
control,pre-induction-NOR-crop_fixed_Trial 10 - crop_superanimal_topviewmouse_snapshot-detector-004_snapshot-004_animal0,102,11,-0.094636478,1.423555846,-1.593338872,3.108161232,-0.409996942,1.097814229,-4.803486915,2.753874384,177.1918524,110.3243683,1.475576942,737.1481377,0.037209302,1.565
