group,name,ID,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration
control,3CT_trial_10,141,27,1.344613536,1.543945007,-0.472558596,2.659880737,-19.32419086,40.07599953,-109.5128471,0.908715301,68.28390786,27.59941174,24.85783119,111.066864,0.005586592,0.07
control,3CT_trial_10,141,28,-2.018349936,1.29217584,-3.06253226,3.132147106,2.135267963,26.26108139,-5.648110073,310.0462073,51.07997577,29.66215109,5.752665547,141.5465357,0.011173184,0.7
control,3CT_trial_10,141,29,2.616439664,0.052195359,2.576937584,2.742523947,-0.90178341,0.982467175,-2.314595092,0.35402445,54.27840654,34.4728735,9.283650175,127.4857207,0.002793296,0.22
control,3CT_trial_10,141,30,0.250741658,1.610539035,-2.975776065,2.931851896,-0.840910906,29.52511055,-310.421837,94.08021231,70.81123839,45.32131809,5.904069195,263.4952327,0.005586592,2.34
control,3CT_trial_10,141,31,-1.333388284,0.02379308,-1.370096367,-1.282676257,0.251030922,0.767055518,-0.257496392,3.586418782,55.44099684,35.93502747,13.87553185,143.5726779,0.002793296,0.8
control,3CT_trial_10,141,32,-0.639623393,0.595853968,-2.953330607,-0.069102394,0.238230832,2.031301138,-2.915381507,5.009624024,110.6341652,51.03855086,23.64913309,210.7684993,0.011173184,0.24
control,3CT_trial_10,141,33,-0.766543882,0.115790988,-0.911685514,-0.639398774,-1.867414668,0.240374536,-2.042489041,-1.531469477,283.9265965,84.96647451,164.3494424,350.805466,0.002793296,0.08
control,3CT_trial_10,141,34,-0.291717444,0.320087554,-0.720735007,0.245148837,-1.393571872,1.037199528,-2.494090162,0.641358648,87.56135623,47.4388446,33.55428671,181.1010167,0.005586592,0.08
control,3CT_trial_10,141,35,1.50390185,0.790140987,-1.31657849,2.551201511,-0.395215033,0.905654869,-6.28183281,1.754969767,46.64917451,25.8425138,1.375272611,161.1553691,0.022346369,1.04
control,3CT_trial_10,141,36,-1.78814389,1.005683961,-2.549907284,0.285343577,-12.45675782,17.54927269,-62.09615123,-2.700196303,111.7193165,54.62495691,16.36105015,222.3569794,0.005586592,0.12
control,3CT_trial_11,98,0,-0.382988672,1.632731208,-3.135238691,3.141156382,0.184251951,8.693918331,-2.487554648,313.60598,70.10733061,72.28463597,0.682811323,708.5184917,0.078703704,0.773529412
control,3CT_trial_11,98,1,-0.11565281,1.400024009,-2.222345137,3.116246305,-0.000506315,0.425922284,-3.265345866,3.448168397,35.79018293,20.48386718,0.77903509,193.5644406,0.076388889,1.442424242
control,3CT_trial_11,98,2,-0.534128634,1.622012518,-2.89601903,2.873489456,0.097532393,1.06061923,-2.643182507,4.050016284,247.5935551,122.2605844,2.815275933,635.1251818,0.06712963,0.409655172
control,3CT_trial_11,98,3,0.022942121,1.544626862,-2.141681024,2.316574647,-0.1557663,1.42927434,-2.934103743,4.69605111,274.8535777,131.5982857,6.493429637,619.8180171,0.034722222,0.189333333
control,3CT_trial_11,98,4,-0.599826421,1.13136193,-2.812315902,2.243961713,-0.135046939,1.228075795,-16.25912033,3.834734801,94.78308631,64.11427234,1.148226669,468.4220736,0.053240741,1.372173913
control,3CT_trial_11,98,5,0.92556562,1.923264908,-3.101339472,3.063574985,1.057835817,27.62560867,-7.919837633,309.2693005,122.1103458,64.52523547,10.92917975,359.6819426,0.011574074,0.508
